analysis_tier,metric,operator,horizon,estimand,mean,ci95_low,ci95_high,n_queries
h50_subset,ndcg10,recursive,40,representation_minus_search_H3abs,-0.0010719383092887723,-0.0013652680143990228,-0.0007858011808695489,1726
h50_subset,ndcg10,recursive,50,representation_H3abs,-0.0020717333551716803,-0.002303917435747617,-0.0018441575573511296,1726
h50_subset,ndcg10,recursive,50,search_H3abs,-0.001205250693278597,-0.0014036159303648685,-0.0010048405349905593,1726
h50_subset,ndcg10,recursive,50,representation_minus_search_H3abs,-0.0008664826618930828,-0.0010827445726687205,-0.000657008494297918,1726
h50_subset,mrr10,anchored,4,representation_H3abs,0.009843698270153927,0.007501694655387241,0.012204004048147817,1726
h50_subset,mrr10,anchored,4,search_H3abs,-0.0013799884814876282,-0.003120223107952158,0.0003222977046892375,1726
h50_subset,mrr10,anchored,4,representation_minus_search_H3abs,0.011223686751641553,0.008750055609584499,0.013769168853689596,1726
h50_subset,mrr10,anchored,8,representation_H3abs,0.0021073771741862853,0.0012138514829414275,0.0029992359549636275,1726
h50_subset,mrr10,anchored,8,search_H3abs,-0.0010320161764976272,-0.0017534369213920832,-0.00030032263857083705,1726
h50_subset,mrr10,anchored,8,representation_minus_search_H3abs,0.0031393933506839128,0.002164740927351376,0.004109426466407027,1726
h50_subset,mrr10,anchored,12,representation_H3abs,0.0007073903279260497,0.00022290038139740394,0.0011980230357678551,1726
h50_subset,mrr10,anchored,12,search_H3abs,-0.0006355190020715142,-0.0010521703597986974,-0.00022856802476018708,1726
h50_subset,mrr10,anchored,12,representation_minus_search_H3abs,0.0013429093299975638,0.0008207354025448645,0.0018736253969807795,1726
h50_subset,mrr10,anchored,16,representation_H3abs,0.0003183216926528623,1.5775303237208093e-05,0.0006274317799835488,1726
h50_subset,mrr10,anchored,16,search_H3abs,-0.00041209274523507945,-0.0006684807705229271,-0.00014634115291941633,1726
h50_subset,mrr10,anchored,16,representation_minus_search_H3abs,0.0007304144378879418,0.00040310315069080156,0.0010563829855019624,1726
h50_subset,mrr10,anchored,24,representation_H3abs,0.00010173412592299942,-5.211024943336168e-05,0.00025396800858308436,1726
h50_subset,mrr10,anchored,24,search_H3abs,-0.00021005120635769737,-0.00034411949479483,-7.645293165417577e-05,1726
h50_subset,mrr10,anchored,24,representation_minus_search_H3abs,0.00031178533228069674,0.0001482321711980238,0.0004754986165803259,1726
h50_subset,mrr10,anchored,32,representation_H3abs,4.4997819785243374e-05,-4.577965835439373e-05,0.00013604437865879054,1726
h50_subset,mrr10,anchored,32,search_H3abs,-0.00012633666326005674,-0.00020785638686140331,-4.8099928435076346e-05,1726
h50_subset,mrr10,anchored,32,representation_minus_search_H3abs,0.0001713344830453001,7.585761863456559e-05,0.0002687466892648808,1726
h50_subset,mrr10,anchored,40,representation_H3abs,2.3869789180311298e-05,-3.6420263681383016e-05,8.447239730662429e-05,1726
h50_subset,mrr10,anchored,40,search_H3abs,-8.413449907372444e-05,-0.0001373689272495228,-3.0505186096307845e-05,1726
h50_subset,mrr10,anchored,40,representation_minus_search_H3abs,0.00010800428825403574,4.379787186197183e-05,0.0001728495160493668,1726
h50_subset,mrr10,anchored,50,representation_H3abs,1.2668459843159944e-05,-2.6759000137549283e-05,5.23598116100455e-05,1726
h50_subset,mrr10,anchored,50,search_H3abs,-5.5574473750636946e-05,-9.184884499711517e-05,-2.0252163857639153e-05,1726
h50_subset,mrr10,anchored,50,representation_minus_search_H3abs,6.824293359379689e-05,2.5946643113748933e-05,0.00011001464396778815,1726
h50_subset,mrr10,recursive,4,representation_H3abs,0.004395594226489338,0.0008530673355910318,0.007963356948008033,1726
h50_subset,mrr10,recursive,4,search_H3abs,-0.0035936005582225317,-0.006490039777377751,-0.0007656099121282493,1726
h50_subset,mrr10,recursive,4,representation_minus_search_H3abs,0.007989194784711872,0.0042677565570453675,0.011654414811864288,1726
h50_subset,mrr10,recursive,8,representation_H3abs,-0.006772773681540322,-0.008578107852513978,-0.004926579099053826,1726
h50_subset,mrr10,recursive,8,search_H3abs,-0.005098686655845539,-0.006720405917875218,-0.003466313620046955,1726
h50_subset,mrr10,recursive,8,representation_minus_search_H3abs,-0.001674087025694782,-0.003558613507927303,0.00020732582273446916,1726
h50_subset,mrr10,recursive,12,representation_H3abs,-0.007279536680970626,-0.008548167080019079,-0.006038418155500896,1726
h50_subset,mrr10,recursive,12,search_H3abs,-0.004544587299667167,-0.005632994736383944,-0.0034399459327102175,1726
h50_subset,mrr10,recursive,12,representation_minus_search_H3abs,-0.002734949381303459,-0.003952518000944246,-0.0015081026442743477,1726
h50_subset,mrr10,recursive,16,representation_H3abs,-0.006375340698513851,-0.007304318220464436,-0.005475431729518762,1726
h50_subset,mrr10,recursive,16,search_H3abs,-0.0037110557658108904,-0.004522746360658814,-0.0029243550449723913,1726
h50_subset,mrr10,recursive,16,representation_minus_search_H3abs,-0.0026642849327029616,-0.0035523962126150963,-0.0017529956458712454,1726
h50_subset,mrr10,recursive,24,representation_H3abs,-0.004786286762677262,-0.005378490563105462,-0.0041818840244263935,1726
h50_subset,mrr10,recursive,24,search_H3abs,-0.0025849697650103223,-0.003087287790465297,-0.002087135672110416,1726
h50_subset,mrr10,recursive,24,representation_minus_search_H3abs,-0.0022013169976669404,-0.002776278562833459,-0.0016346291532655423,1726
h50_subset,mrr10,recursive,32,representation_H3abs,-0.0037127683404311685,-0.004132299719976703,-0.0032938445075452486,1726
